id,date,section,title,body_text,word_count
politics/2021/dec/16/boris-and-carrie-johnson-name-daughter-romy-iris-charlotte,2021-12-16,Politics,Boris and Carrie Johnson name daughter Romy Iris Charlotte,"Boris and Carrie Johnson have announced the name of their daughter, Romy Iris Charlotte Johnson. Carrie Johnson, posting on Instagram, said Romy was picked after her aunt Rosemary, Iris after the Greek word for rainbow, and Charlotte after the prime minister's late mother. She has previously described her daughter as a ""rainbow baby"": a term to describe a child born after a miscarriage. The 33-year-old has spoken of having a miscarriage earlier in the year. The prime minister revealed the first name of his seventh - or possibly eighth - child to reporters while on a visit to a Covid vaccination centre in Kent. The couple announced Romy's birth on 9 December. She is the second child of the prime minister with his third wife, following the birth of their son, Wilfred, in April 2020. Johnson, 57, has four children with his former wife, the barrister Marina Wheeler, and one - Stephanie - with the art consultant Helen Macintyre, with whom he had an affair while he was mayor of London in 2009. The prime minister had previously denied being Stephanie's father but in 2013 the court of appeal ruled it was in the public interest for the details of his extramarital affair to be known. In an interview with NBC in September last year, Johnson said he had six children. But during the 2013 court ruling, the three judges suggested there may be a second child from an extramarital affair, making eight children in total. No details are known about the alleged second child. The prime minister did not take an extended period of leave after Romy's birth as he battles a string of political scandals as well as the spread of the Omicron Covid variant.",287
politics/2021/dec/28/david-lammy-apologises-for-nominating-corbyn-to-be-labour-leader,2021-12-28,Politics,Labour's David Lammy apologises for nominating Jeremy Corbyn to be leader,"David Lammy has apologised for nominating Jeremy Corbyn to be Labour leader in 2015 and said he is ""staggered"" that some individuals with deeply antisemitic views remain in the Labour party. Speaking at this year's Limmud festival, a Jewish event, the shadow foreign secretary said he ""never believed"" Corbyn would become leader and that his nomination was ""a mistake"". ""I regret nominating Jeremy Corbyn and if I knew what I do now, I never would have nominated him,"" Lammy told an online audience of about 300, in comments first reported in Jewish News. ""I never believed he would become leader. That was a mistake and I am sorry for that."" Lammy went on to say he was ""fully behind"" Keir Starmer and said of his leadership: ""I don't believe the overall culture is toxic any more ... but until the party is genuinely welcome for everyone, we remain on a journey."" His comments came after a recent survey of members of the Jewish Labour Movement, a Labour party affiliate, found strong support for Starmer's efforts to tackle antisemitism since he became leader last year. Roughly 70% of the survey's 363 respondents said Labour was a safe space for Jewish people under Starmer's leadership, compared with just 4% who felt the same under Corbyn. But Lammy said Labour was still ""on a journey"" when it came to improving relations with Britain's Jewish groups and that certain individuals with antisemitic views remained in the party. ""I've met some of these individuals and am frankly staggered some are still in the party,"" the Tottenham MP said. ""But as a lawyer, I understand that people appeal and go to court. There is a process, which can feel slow and tortuous sometimes, but it must be undertaken."" Describing himself as a subscriber to the ""rainbow coalition approach to politics"", he said he was proud of the Jewish community for standing ""shoulder to shoulder"" with leaders including Nelson Mandela and Desmond Tutu in their fight against apartheid. ""The Jewish community understood the fascism that was at the heart of apartheid and the pernicious evil of discrimination. The tradition that I'm from is Jewish friends recognising and being active alongside historically discriminated groups. ""It means black communities like mine understanding prejudices existing against Jewish communities.""",378
politics/2021/dec/24/boris-johnson-can-get-away-with-things-others-cant-david-cameron,2021-12-24,Politics,"Boris Johnson can 'get away with things' others can't, says David Cameron","Boris Johnson can ""get away with things that mere mortals can't seem to"", the former prime minister David Cameron has said, while suggesting there has been an ""arms race"" between politicians and the media to outwit one another. Johnson's team have significantly changed relationships with the media - hiring personal photographers on to the No 10 staff who often snap key events instead of photographers from media organisations. Johnson has also used taped clips to make announcements - including most recently the announcement of no new restrictions before Christmas - instead of appearing at a press conference or in front of MPs. In an interview with Adam Boulton for Feral Beasts, a documentary exploring Britain and the media, Cameron said the relationship had become more adversarial. ""I think there has been a bit of an arms race in a way,"" Cameron said. ""Politicians have tooled up with special advisers and the spin doctors, and the media have tooled up by even more aggressive 'gotcha' interviews to get that magic moment. ""I think we have got to try and have a relationship still distant and confrontational by moments - but understanding that you have got legitimate questions, but we have also got a responsibility to explain what we are doing. And can we try and find a bit of space for those things to coexist."" Cameron had also made a request for a personal official photographer, which was declined, which prompted him to say Johnson could get away with more than others. He also criticised the prime minister's decision to boycott appearances on BBC Radio 4's flagship Today programme - his appearance on the show in October was the first time he had been on it in two years. Cameron was criticised during his time in No 10 for avoiding press scrutiny. As Conservative leader he had pledged to hold monthly press conferences but those were soon ditched. ""But, look, I think you shouldn't do this to bypass the media. You go on having ... whether it is press conferences or interviews or media events - this is important,"" Cameron said. ""And I always did. Yes, the press conferences were rather infrequent, but I never held back from going on the Today programme and coming on your show. ""I mean, we were always available and keen to engage and to answer questions."" Johnson had promised a more open relationship with the press with plans for televised media briefings from a £2m refurbished media suite and hired Allegra Stratton as an official spokesperson to front them. But rows over the briefings eventually led to the departure of several senior staff and they were cancelled. Stratton resigned this month after footage leaked of briefing rehearsals in which staff joked about Downing Street Christmas parties.",461
politics/2021/dec/09/conservative-party-fined-17000-over-downing-st-redecoration,2021-12-09,Politics,MPs press for new investigation into Boris Johnson flat refurbishment,"Boris Johnson could face sanctions involving suspension from the House of Commons as MPs piled pressure on the standards commissioner to investigate spending on his flat in the wake of a serious censure by the Electoral Commission. Questions have been raised over whether Johnson misled his ethics adviser after the Conservative party was fined £17,800 for serious donation reporting failures over the financing of the Downing Street flat redecoration. After an eight-month investigation, the Electoral Commission, which regulates political parties' income and spending, found the Conservatives had not reported a donation of £52,801. Labour has written to the parliamentary standards commissioner, Kathryn Stone, asking her to open an investigation into Johnson personally over the donations. Stone has sanction powers, including the ability to suspend an MP, which can lead to a recall petition and a potential byelection. Stone said she would not investigate the breach until the Electoral Commission had finalised its inquiries. The Labour MP Margaret Hodge, one of the first to report Johnson to Stone, wrote to the commissioner again on Thursday. In a letter seen by the Guardian, Hodge said it ""appears that the prime minister may have lied"" to a separate inquiry by Lord Geidt, the ministerial adviser on ethics, which cleared Johnson of a breach of the ministerial code. ""If these allegations are true, then this would be an egregious case of dishonesty and a breach of the Nolan principles."" The money for the flat's refurbishment came from the Tory peer David Brownlow, via his company Huntswood Associates Ltd. It was used to cover the costs of extensive and costly changes to the flat above No 11 where Johnson, his wife, Carrie, and their children live. The commission's report also suggests Johnson knew about the donation from Brownlow earlier than he had previously told Geidt. Geidt cleared Johnson of breaching the ministerial code in May 2021. At the time, Geidt wrote that ""for the credibility of this inquiry"" he had checked the claim that Johnson knew nothing of the payments made for the flat by others. Geidt said the prime minister confirmed ""he knew nothing about such payments until immediately prior to media reports in February 2021"". Nevertheless, the commission's report makes clear that on 23 June 2020, Johnson offered Brownlow the role of chair of the Downing Street Trust, and on 29 November messaged Brownlow on WhatsApp asking him to authorise further refurbishment works on the flat. Downing Street claimed there was no inconsistency between the Geidt and Electoral Commission reports, as Johnson only knew that Brownlow was organising donations to pay for the refurbishment works, not that Brownlow was himself ""the underlying donor"". Brownlow had ""behaved in a confidential manner"" after being appointed to head the blind trust in June 2020, Johnson's spokesperson said. ""Despite the prime minister and Lord Brownlow having some limited contact during the following three months, the record shows no evidence that the prime minister had been informed by Lord Brownlow that he had personally settled the total cost,"" he said. The spokesperson declined to explain why some payments for the flat, including one of £59,000, were cited in the new report but had not seemingly been declared by Johnson, saying this was ""in the most part a matter for"" Conservative HQ. He added: ""The prime minister has acted in accordance with the rules at all times. He has made any requisite declarations."" Saying Johnson had full confidence in Geidt, the spokesperson declined to say whether Geidt had seen the messages to Brownlow before writing his report. The commission found that the Conservatives did declare a £15,000 donation from",1051
politics/commentisfree/2021/dec/07/the-guardian-view-on-dominic-raabs-foreign-office-callous-as-well-as-complacent,2021-12-07,Politics,The Guardian view on Dominic Raab's Foreign Office: callous as well as complacent | Editorial,"In August, with Kabul on the brink of falling to the Taliban, the then foreign secretary, Dominic Raab, was advised to call his Afghan counterpart. Facilitating the swift evacuation of translators who had been working for British forces was becoming a matter of extreme urgency. But Mr Raab - holidaying in Crete at the time - failed to pick up the phone, and indeed remained on his break as the Afghan government collapsed. The episode suggested a culpable lack of foresight and urgency on the part of the foreign secretary, as the Taliban swept back to power with unexpected speed. But we didn't know the half of it until this week. The testimony of a former diplomat has painted a devastating picture of the chaos that Mr Raab blithely presided over when he came back from Crete. The evidence of Raphael Marshall, published by the foreign affairs select committee, points to a chaotic, complacent and woefully underpowered crisis operation. According to Mr Marshall, in the final phase of the airlift effort from Kabul airport, when every minute counted, the former foreign secretary took ""hours to engage"" with exceptional evacuation cases brought to his personal attention. More broadly, the abject failure to prepare for the eventuality of a sudden Taliban takeover - despite warning signals for months - meant that no proper lists or criteria were in place to identify the vulnerable and expedite their evacuation. As a result, claims Mr Marshall, he and other junior officials had to arbitrarily take life-and-death decisions without proper guidance. Those Afghans whose evacuation requests were actually considered constituted a tiny minority of up to 150,000 applicants - though saving animals from a rescue shelter founded by a former marine appears to have been made a priority. Most damningly of all, perhaps, Mr Marshall claims that tens of thousands of emails were wrongly flagged as read, to give the false impression of a functioning process. Mr Raab, now the justice secretary, failed to satisfactorily deal with any of Mr Marshall's points on Tuesday. As he pointed out, the British army and other actors on the ground played heroic parts in airlifting 15,000 people out of Kabul. But the former foreign secretary's consistent lack of leadership set the tone and made a harrowing situation far worse. At a foreign affairs committee hearing on Tuesday, a top Foreign Office civil servant admitted that he chose to stay on holiday until 26 August, 11 days after the fall of Kabul. The trust of those who put themselves at risk of Taliban reprisals by working for the British or assuming leading roles in civil society - believing they would be protected - was betrayed. Many of those people are still in hiding. It is too late to rectify the mistakes of last spring and summer. But frightened refugees are now attempting to make their own way to safety, and in some cases arriving in Calais. Scandalously, Priti Patel's Home Office has still to open the Afghan citizens' resettlement scheme announced almost four months ago, intended to offer a legal route to Britain for the vulnerable who were left behind. Rather than spending her time devising new ways to keep desperate people out of Britain, Ms Patel should get a move on and belatedly assume Britain's moral responsibilities. Mr Marshall's testimony should be a catalyst for the government to at least keep one promise to the people it let down so badly.",572
politics/2021/dec/14/englands-travel-red-list-to-be-cleared-again-as-omicron-takes-hold,2021-12-14,Politics,Sajid Javid clears England's travel red list as Omicron takes hold,"All 11 countries on England's travel red list are to be taken off it from 4am on Wednesday, amid diminishing concern about Omicron cases being imported into the country. Given that the variant has already taken hold in the UK - making up a third of new infections in London - the health secretary, Sajid Javid, announced that mandatory hotel quarantine for those arriving from some southern African countries was set to end. Instead, all travellers arriving in England will be able to isolate at home. If double vaccinated, they can be released with a negative PCR test taken within two days of arrival. If not they must stay at home for 10 days and get a test before day two and another on day eight or later. The red list was cleared at the end of October, but after the discovery of the Omicron variant in South Africa, 11 countries were put back on it. They were: Angola, Botswana, Eswatini, Lesotho, Malawi, Mozambique, Namibia, Nigeria, South Africa, Zambia and Zimbabwe. Omicron's spread through the UK has been swift. The UK Health Security Agency said on Monday that the number of confirmed cases of the variant was 4,700, but estimated daily infection numbers were at about 200,000. Javid announced in parliament on Tuesday that the red list was being emptied, saying it had become ""less effective in slowing the incursion of Omicron from abroad"". He said the requirement to get tested before departure would remain in place. He had hinted at the move in a statement to the Commons last week. Under pressure from Tory MPs who raised concerns about the aviation and tourism sectors, Javid said that because Omicron cases would probably spread quickly in the UK, there would be ""less need to have any kind of travel restrictions at all"". As health restrictions are devolved, it will be up to the administrations in Scotland, Wales and Northern Ireland whether to follow suit. The Labour MP Ben Bradshaw called for people ""currently incarcerated in so-called quarantine hotels in inhumane conditions"" to be immediately released and allowed to complete their isolation at home. The Conservative Andrew Murrison said it was ""completely untenable"" to ""bang people up"" in the hotels. Steve Barclay, the Cabinet Office minister, later confirmed people in hotel quarantine would be permitted ""early release"" and allowed to ""follow the relevant rules as if they have arrived from a non-red list country"" if they tested negative. Those who tested positive will have to remain in the facility. Gary Lewis, the chief executive of the Travel Network Group, which represents more than 1,200 travel businesses in the UK, welcomed the wiping of the red list, but added: ""We are fully behind safe overseas travel but we have to be pragmatic, Covid is here for the long run ... There have been too many poorly timed, kneejerk travel impositions."" Last week, EU leaders discussed easing similar curbs. Reuters reported a senior official as saying the travel ban was ""a time-limited measure"" but there were no immediate plans to lift it. The US has kept up its own travel ban, with the White House's chief medical adviser saying action was taken when the country was ""in the dark"" about the variant, to give time to assess its threat. Some political leaders in southern Africa said the restrictions were unfair. Cyril Ramaphosa, the president of South Africa, said he was ""deeply disappointed"" by the action. According to the BBC, he said: ""The only thing the prohibition on travel will do is to further damage the economies of the affected countries and undermine their",652
politics/2021/dec/18/mps-question-standards-chief-over-claims-pm-misled-him-on-flat-redecoration,2021-12-18,Politics,MPs question standards chief over claims PM misled him on flat redecoration,"Boris Johnsons's adviser on ministerial interests has been contacted by a parliamentary committee over allegations that he was misled by the prime minister over the funding of the refurbishment of his Downing Street flat. In a letter to Lord Geidt, the crossbench peer who took up the adviser role in April after his predecessor resigned, MPs ask what steps are open to him if he believes he was misled during his inquiry into the handling of the work at the flat. Geidt's investigation, which he undertook in May, cleared Johnson of wrongdoing over an apparent £52,000 donation to the Conservatives from a long-standing party donor to cover the costs of redecorating the No 11 residence he shares with his wife Carrie and their two children. Geidt reported that Johnson told him ""he knew nothing about such payments"" until February 2021. However, WhatsApp messages that emerged during an Electoral Commission inquiry into the funding showed that Johnson had been in direct contact with the donor, Lord Brownlow, in November 2020. Downing Street sources have suggested Johnson only knew Brownlow was handling the donations, rather than funding them. William Wragg, the Tory chair of the public administration and constitutional affairs committee, has written to Geidt to ask for his ""reflections on several points given the events of the last few weeks"". He states that the Electoral Commission ""appears to have had access to information you did not when your own investigation found that [the] ministerial code had not been broken"". He writes: ""What investigatory powers do you have available to you? Are you satisfied that they are adequate and, if so, how do you explain the discrepancy between your findings and those of the Electoral Commission? What steps are open to you if you feel that... you may have been misled?"" He also asks Geidt whether, after six months in the job, he now needs the power to initiate investigations into potential code breaches. Under current rules, he only has the power to ask the prime minister's permission. The committee has also asked him how many times he has exercised his right to ask the prime minister's permission to open an investigation. ""Have you used that 'right' in relation to the Electoral Commission's investigation,"" the letter states. It goes on to ask: ""How satisfied are you that the processes you have followed are sufficient to maintain public confidence that ethical standards are complied with? In the light of your experience of the office and of events of recent weeks, have you now, or will you be, advising the prime minister that the role of the independent adviser needs strengthening and, if so, in what ways?"" Geidt is said to have asked Johnson for the WhatsApp messages exposed by the Electoral Commission. He is also said to have been frustrated by the emergence of the new material, with suggestions that he could consider his position if he concludes he has been misled by the prime minister. Downing Street has confirmed that it was in touch with Geidt. Should Geidt reopen his investigation, it would be another blow for Johnson, after the byelection defeat in North Shropshire last week and allegations over parties held in Whitehall and Downing Street last year. A resignation by Geidt would be a further embarrassment. Johnson' previous ministerial standards adviser, Alex Allan, stood down in November 2020 after the prime minister ignored his findings that the home secretary, Priti Patel, had bullied staff. The parliamentary commissioner for standards, Kathryn Stone, also has the power to open an investigation into the Downing St refurbishment should she believe she has the",604
politics/2021/dec/08/allegra-stratton-leaves-cop26-role-after-no-10-christmas-party-video,2021-12-08,Politics,Allegra Stratton resigns after No 10 Christmas party video,"Allegra Stratton has stepped down as the government's spokesperson for the Cop26 climate summit after footage emerged of her joking about a party at Downing Street during the peak of lockdown rules in December last year. Boris Johnson told a coronavirus press briefing on Wednesday that Stratton had been an ""outstanding spokeswoman ... I am very sorry to lose her"". But he added: ""I take responsibility for everything that happens in this government and I have throughout the pandemic."" In a statement sent to journalists and read out to TV crews in front of her home, Stratton - Johnson's former press secretary - said she deeply regretted joking with other No 10 aides during a rehearsal for a later-dropped plan for filmed Downing Street press conferences. ""The British people have made immense sacrifices in the battle against Covid 19. I now fear that my comments in the leaked video of 20 December may have become a distraction against that fight,"" she said. ""My remarks seemed to make light of the rules, rules that people were doing everything to obey. That was never my intention. I will regret those remarks for the rest of my days and offer my profound apologies to all of you for them."" Saying she remained proud of her work on Cop26, Stratton said: ""I understand the anger and frustration that people feel. To all of you who lost loved ones, endured intolerable loneliness and struggled with your businesses - I am sorry and this afternoon I have offered my resignation to the prime minister."" Stratton moved to her Cop26 role after the planned Downing Street briefings were axed. A former journalist for the Guardian, BBC and ITV, Stratton also worked for the chancellor, Rishi Sunak, before switching to No 10. Earlier Downing Street said Stratton and another No 10 aide, Ed Oldfield, who was named in the video, had not been suspended. Oldfield has not offered any comment since the videos emerged. A number of senior journalists and former colleagues of Stratton said she was being scapegoated for a party which, during the video, she said she had not even attended. Nazir Afzal, a senior prosecutor who has been a vocal campaigner for the victims of Covid-19 after losing family, said: ""I accept Allegra Stratton's apology, but she was not the problem. A good leader doesn't blame the staff. A good leader takes responsibility."" Robert Peston, ITV's political editor, who had worked with Stratton while she was a journalist, said her resignation was confirmation the event had taken place. ""She is a model for many in modern politics ... in that she has taken responsibility and quit without prevarication. ""It would be nonsensical for [Stratton] to have resigned if the Downing Street party had never happened, and she wasn't conspicuously making light of it. So she has just blown up the prime minister's 'I've been assured the party never happened.'"" Jo Goodman, co-founder of Covid-19 Bereaved Families for Justice, said it was hard to accept Stratton's apology. ""There was simply no way she could have stayed in the position after the pain and hurt her words have caused bereaved families over the past 24 hours,"" she said. ""If she's truly sorry, she now needs to tell the full truth. That means coming clean on what happened, and who was there.""",554
politics/2021/dec/09/when-a-wren-sounds-a-note-of-hope,2021-12-09,Politics,When a wren sounds a note of hope | Brief letters,"Paul Evans's excellent country diary from Wenlock Edge (9 December) was quite symbolic of this week's political farce. His description of a fallen 200-year-old tree, revealing the hidden bones, uncovered and carefully reburied to respect their secret, spoke volumes. But the classic uplift of the wren being an omen and bringing news was a ray of hope for those of us wishing for better times. Dr Mark Wilcox New Mill, West Yorkshire • Rather than being a chronological process (I'm not yet 50 - so why does everyone keep calling me middle-aged?, 7 December), ""middle age is when the soul collapses with secretly accumulating disgust"", a definition I heard on the radio late one night many years ago. I'm happy to say that, at 82, my soul is still buoyant. Hal Dunkelman Cote, Oxfordshire • Only the wrapping paper (Letters, 7 December)? I remember my mother ironing actual presents, such as a scarf she didn't fancy, to be recycled for a birthday or next Christmas. She made a pencilled early version of a spreadsheet to avoid embarrassing errors, which still occurred. Coincidentally, ""gift"" is the German for ""poison"". Brian Smith Berlin, Germany • Until recently, the rolling information bar at the bottom of the large screen in our doctor's surgery said: ""Don't forget to pre-book your next appointment."" I nearly added ""dizzy"" to my list of symptoms (Letters, 8 December). James Vickers Redcar, North Yorkshire • The one that drives me mad is ""redouble your efforts"" - when you probably haven't yet doubled them. Stuart Waterworth Tavistock, Devon • Have an opinion on anything you've read in the Guardian today? Please email us your letter and it will be considered for publication.",282
politics/2021/dec/20/downing-street-explains-why-19-people-were-in-no-10-garden,2021-12-20,Politics,Downing Street explains why 19 people were in No 10 garden,"There have been a series of explanations as to why Boris Johnson, his wife and 17 other people were photographed with wine and cheese in the Downing Street garden during the Covid lockdown in May last year. Johnson's spokesman on Friday, after sources told the Guardian and Independent about the event: In the summer months Downing Street staff regularly use the garden for some meetings. On 15 May 2020 the prime minister held a series of meetings throughout the afternoon, including briefly with the then health and care secretary and his team in the garden following a press conference. The prime minister went to his residence shortly after 7pm. A small number of staff required to be in work remained in the Downing Street garden for part of the afternoon and evening. Johnson's spokesman on Sunday, after seeing the photo: As we said last week, work meetings often take place in the Downing Street garden in the summer months. On this occasion there were staff meetings after a No 10 press conference. Downing Street is the prime minister's home as well as his workplace. The prime minister's wife lives in No 10 and therefore also legitimately uses the garden. Dominic Raab on Monday: I think there's a lot of exhausted people, and they, as people do in work, were having a drink after the formal business had been done. Johnson's spokesman on Monday: This shows colleagues who were required to be in work, meeting following a press conference to discuss work ... It was not against the regulations for those individuals to have a drink outside working hours, but still discussing work. Johnson on Monday: This is where I live, it is where I work. Those were meetings of people at work, talking about work.",295
