comment_id,id_submission,date_submitted,filer_name,city,state,comment_text,char_count
1,1072568158153,2024-07-25T19:38:38.039Z,"One Ministries, Inc.",,,"July 25, 2024
Marlene H. Dortch, Esq.
Secretary Federal Communications Commission
45 L Street NE Washington DC 20554
Re: MB Docket No. 24-211,
Disclosure and Transparency of Artificial Intelligence-Generated Content in Political Advertisements
Dear Ms. Dortch:
In the NPRM, the FCC asks for comment on the following statement:
“We tentatively conclude that the same public interest justifications that support the proposed rules for
broadcast stations apply equally to cable operators, DBS providers, and SDARS licensees engaged in
origination programming. We seek comment on this tentative conclusion.”
One Ministries, Inc. (OMI) requests that for the purposes of this NRPM that the definition of cable
operators also include vMVPD operators such as YouTube TV, Hulu Plus Live TV, Sling TV, Fubo TV,
Peacock Premium Plus and DirecTV Stream. YouTube TV is projected to soon have a subscriber base
larger than any other cable or DBS provider. Therefore, it would be prudent to consider YouTube TV to
be a cable operator as well as any streaming service that carries at least one local broadcast station in a
television market. Regarding the authority that the Commission has to include vMPVDs as cable
systems for the purpose of the NPRM, please refer to pages 3 and 4 of the comments submitted by the
Competitive Enterprise Institute, The International Center for Law & Economics, and TechFreedom filed
March 3, 2015.1
Sincerely,
Keith J. Leitch
President, One Ministries, Inc. (KQSL)
1 Comments of the Competitive Enterprise Institute, The International Center for Law & Economics, and
TechFreedom dated March 13, 2015 on pages 3 and 4:
https://www.fcc.gov/ecfs/document/60001025593/1",1685
2,10816159329363,2024-08-16T17:53:14.899Z,James D.,,,"AI generated political ads should be banned in my opinion, but this disclosure regulation is a good start at the very least.",124
3,1081969365836,2024-08-19T18:50:15.811Z,Mr. alva griffis,,,"Congress has explicitly granted the Federal Election Commission (FEC)—not the FCC—the exclusive statutory authority to interpret, administer, and enforce the Federal Election Campaign Act (52 U.S.C. § 30106(b)). This includes the authority to establish disclosures for political communications on television and radio (52 U.S.C. § 30120). The courts have consistently recognized the FEC’s unique role in regulating political disclosures, even when other agencies have attempted to circumvent or supplement its rules, concluding that “the FEC is the exclusive administrative arbiter of questions concerning the name identifications and disclaimers” for political communications (Galliano v. United States Postal Service, 836 F.2d 1362, 1368–70 (D.C. Cir. 1988)).

Currently, the FEC is actively considering the very issues implicated by your proposed rule, and legislators in Congress are engaged as well. A DNC-backed petition has asked the FEC to impose new regulations on AI-generated political speech—a proposal that mirrors the FCC’s current initiative—before voters hit the ballot boxes this fall (See Petition of Public Citizen, July 13, 2023; Comments of Democratic National Committee, REG 2023-02, Oct. 16, 2023).

The FEC Chairman has warned that the FCC’s proposal would encroach upon the FEC’s exclusive jurisdiction, directly conflict with existing laws and regulations, and sow chaos among political campaigns for the upcoming election.

I strongly urge the immediate withdrawal of these proposed regulations.

Sincerely,
Mr. alva griffis",1551
4,108190369622092,2024-08-19T18:50:46.482Z,Penny Bowdish,,,"Your proposed regulations for AI-generated content in political advertisements would cause significant confusion and directly conflict with established laws. These regulations are not only unnecessary but also detrimental to our democratic process.

The useless definition of AI in the proposed rule (""an image, audio, or video that has been generated using computational technology or other machine-based system that depicts an individual's appearance, speech, or conduct, or an event, circumstancei, or situation"") could be applied to literally any modern political ad, creating an opening for censorship and manipulation.

The FCC has no statutory authority to police the content of political advertising. Such an attempt raises serious constitutional concerns and undermines the Federal Election Commission's exclusive jurisdiction in this area. 

This proposal threatens to create inconsistent and confusing rules that will leave voters uncertain about the authenticity of political ads, ultimately benefiting certain political interests by suppressing opposing voices.

I strongly urge the immediate withdrawal of these proposed regulations.

Sincerely,
Penny Bowdish",1173
5,1081989546170,2024-08-19T18:51:17.576Z,Mr. Vincent Puma,,,"I am writing to express my serious concerns regarding the FCC's proposed rulemaking for AI-generated content in political advertisements. Alarmingly, in its attempt to justify this overreach, the FCC has revived sweeping, decades-old agency precedents. Specifically, the agency references a policy statement from the 1960s, which announced the FCC’s expectation for broadcasters to “take all reasonable measures to eliminate any false, misleading, or deceptive matter” under threat of license revocation. This policy statement suggests a regulatory authority far beyond simple disclosure requirements, effectively positioning the FCC as the nation’s speech police.

Such an expansive interpretation of the FCC’s authority is deeply troubling. The regulatory power claimed by the FCC today would enable the agency to operate as an arbiter of truth in political speech, a role that is both inappropriate and unconstitutional. This overreach threatens to stifle free speech and disrupt the democratic process by imposing undue burdens on broadcasters.

Your proposed AI definition is so broad that any political ad targeted for censorship -- including by corrupt ""third-party"" fact-checkers -- could be implicated.

Congress has clearly defined the boundaries of the FCC’s authority, which do not include acting as a gatekeeper for political speech. The revival of such far-reaching precedents is an alarming step towards undermining free speech and the democratic process.

I strongly urge you to immediately withdraw the proposed rule.

Sincerely,
Mr. Vincent Puma",1563
6,108192015618805,2024-08-19T18:51:27.662Z,Mr. Richard Salher,,,"I am writing to express my concerns regarding your proposed rule for AI-generated content in political advertisements. In light of the Supreme Court’s decision in Loper Bright v. Raimondo, it is clear that the FCC does not possess the authority to enact this proposed rule.

Agencies cannot extend their regulatory reach beyond the specific authority granted by Congress. The FCC’s authority over candidate ads is limited to ensuring that broadcasters provide candidates with equal access. The FCC’s proposed regulations exceed this narrow mandate and encroach on the jurisdiction of the Federal Election Commission (FEC).

Congress intentionally restricted the FCC’s role over political ads to specific, targeted matters. This limitation was designed to prevent the kind of overreach that the Commission is now attempting.

None of the laws cited in the proposed rule provide the agency with the sweeping authority it claims over political speech. The Supreme Court has decisively ruled against such novel interpretations that lack clear congressional authorization.

In light of these considerations, I strongly urge the immediate withdrawal of the proposed rulemaking.

Sincerely,
Mr. Richard Salher",1202
7,10819799021985,2024-08-19T18:51:37.925Z,Mrs. Theresa Sievers,,,"I am writing to express my concerns regarding your proposed rule for AI-generated content in political advertisements. In light of the Supreme Court’s decision in Loper Bright v. Raimondo, it is clear that the FCC does not possess the authority to enact this proposed rule.

Agencies cannot extend their regulatory reach beyond the specific authority granted by Congress. The FCC’s authority over candidate ads is limited to ensuring that broadcasters provide candidates with equal access. The FCC’s proposed regulations exceed this narrow mandate and encroach on the jurisdiction of the Federal Election Commission (FEC).

Congress intentionally restricted the FCC’s role over political ads to specific, targeted matters. This limitation was designed to prevent the kind of overreach that the Commission is now attempting.

None of the laws cited in the proposed rule provide the agency with the sweeping authority it claims over political speech. The Supreme Court has decisively ruled against such novel interpretations that lack clear congressional authorization.

In light of these considerations, I strongly urge the immediate withdrawal of the proposed rulemaking.

Sincerely,
Mrs. Theresa Sievers",1204
8,1081906752243,2024-08-19T18:51:48.784Z,Mr. Mark Killebrew,,,"Congress has explicitly granted the Federal Election Commission (FEC)—not the FCC—the exclusive statutory authority to interpret, administer, and enforce the Federal Election Campaign Act (52 U.S.C. § 30106(b)). This includes the authority to establish disclosures for political communications on television and radio (52 U.S.C. § 30120). The courts have consistently recognized the FEC’s unique role in regulating political disclosures, even when other agencies have attempted to circumvent or supplement its rules, concluding that “the FEC is the exclusive administrative arbiter of questions concerning the name identifications and disclaimers” for political communications (Galliano v. United States Postal Service, 836 F.2d 1362, 1368–70 (D.C. Cir. 1988)).

Currently, the FEC is actively considering the very issues implicated by your proposed rule, and legislators in Congress are engaged as well. A DNC-backed petition has asked the FEC to impose new regulations on AI-generated political speech—a proposal that mirrors the FCC’s current initiative—before voters hit the ballot boxes this fall (See Petition of Public Citizen, July 13, 2023; Comments of Democratic National Committee, REG 2023-02, Oct. 16, 2023).

The FEC Chairman has warned that the FCC’s proposal would encroach upon the FEC’s exclusive jurisdiction, directly conflict with existing laws and regulations, and sow chaos among political campaigns for the upcoming election.

I strongly urge the immediate withdrawal of these proposed regulations.

Sincerely,
Mr. Mark Killebrew",1553
9,10819736924429,2024-08-19T19:10:14.952Z,Mr. William Koons,,,"I am writing to express my serious concerns regarding the FCC's proposed rulemaking for AI-generated content in political advertisements. Alarmingly, in its attempt to justify this overreach, the FCC has revived sweeping, decades-old agency precedents. Specifically, the agency references a policy statement from the 1960s, which announced the FCC’s expectation for broadcasters to “take all reasonable measures to eliminate any false, misleading, or deceptive matter” under threat of license revocation. This policy statement suggests a regulatory authority far beyond simple disclosure requirements, effectively positioning the FCC as the nation’s speech police.

Such an expansive interpretation of the FCC’s authority is deeply troubling. The regulatory power claimed by the FCC today would enable the agency to operate as an arbiter of truth in political speech, a role that is both inappropriate and unconstitutional. This overreach threatens to stifle free speech and disrupt the democratic process by imposing undue burdens on broadcasters.

Your proposed AI definition is so broad that any political ad targeted for censorship -- including by corrupt ""third-party"" fact-checkers -- could be implicated.

Congress has clearly defined the boundaries of the FCC’s authority, which do not include acting as a gatekeeper for political speech. The revival of such far-reaching precedents is an alarming step towards undermining free speech and the democratic process.

I strongly urge you to immediately withdraw the proposed rule.

Sincerely,
Mr. William Koons",1564
10,10819068415234,2024-08-19T19:10:25.430Z,Mr. Stephen Mazur,,,"Your proposed regulations for AI-generated content in political advertisements would cause significant confusion and directly conflict with established laws. These regulations are not only unnecessary but also detrimental to our democratic process.
The useless definition of AI in the proposed rule (""an image, audio, or video that has been generated using computational technology or other machine-based system that depicts an individual’s appearance, speech, or conduct, or an event, circumstance, or situation"") could be applied to literally any modern political ad, creating an opening for censorship and manipulation.
The FCC has no statutory authority to police the content of political advertising. Such an attempt raises serious constitutional concerns and undermines the Federal Election Commission's exclusive jurisdiction in this area. 
This proposal threatens to create inconsistent and confusing rules that will leave voters uncertain about the authenticity of political ads, ultimately benefiting certain political interests by suppressing opposing voices.
I strongly urge the immediate withdrawal of these proposed regulations.

Sincerely,
Mr. Stephen Mazur",1172
